Compiled LZX Castle MOUSER BOM;;;;;;;;;;;;
Line Item;Quantity;Manufacturer;Manufacturer P/N;Vendor;Vendor P/N;Description;Value;Package;Part Type;Assembly Location;Substitute Part;Links
1;47;KOA Speer;MF1/4DCT52R4990F;Mouser;660-MF1/4DCT52R4990F;Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%;499;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4990F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeemmOzv%2FrwnjDY3xM2khlsPcssrIU24RLw
2;116;KOA Speer;MF1/4DCT52R1001F;Mouser;660-MF1/4DCT52R1001F;Metal Film Resistors - Through Hole 1Kohms 1% 100PPM;1K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R1001F?qs=%2Fha2pyFadujx107AAlVRunDZ5yxoA6p7eXGU1nmWTzWdRvgmWaRbYjxoSN%252BUI%252BGJ
3;27;KOA Speer;MF1/4DCT52R3901F;Mouser;660-MF1/4DCT52R3901F;Metal Film Resistors - Through Hole 3.9Kohms 1% 100PPM;3.9K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R3901F?qs=%2Fha2pyFadujx107AAlVRundSJR1zmrGcVVCEPF5X6xYV4OFNue0uH5nLQGpYBt1b
4;8;KOA Speer;MF1/4DCT52R4991F;Mouser;660-MF1/4DCT52R4991F;Metal Film Resistors - Through Hole 4.99Kohms 1% 100PPM;4.99K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4991F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeeSRciUmIAyiAgVb3f8PiCARiabZjcS22U
5;21;KOA Speer;MF1/4DCT52R1002F;Mouser;660-MF1/4DCT52R1002F;Metal Film Resistors - Through Hole 10Kohms 1% 100PPM;10K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R1002F?qs=%2Fha2pyFadujx107AAlVRunDZ5yxoA6p7a8LIv62XQHN9wTYLDn97SmYJ64FD96jM
6;1;KOA Speer;MF1/4DCT52R4702F;Mouser;660-MF1/4DCT52R4702F;Metal Film Resistors - Through Hole 47Kohms 1% 100PPM;47K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4702F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeeKfRkh06NnODHjgNPEKTpdd4tnAUoGmQe
7;2;KOA Speer;MF1/4DCT52R4992F;Mouser;660-MF1/4DCT52R4992F;Metal Film Resistors - Through Hole 49.9Kohms 1% 100PPM;49.9K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4992F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeePL%2F1caF6FiyJsu5Q%2FpoxhXTFSbUs1kRj
8;27;KOA Speer;MF1/4DCT52R1003F;Mouser;660-MF1/4DCT52R1003F;Metal Film Resistors - Through Hole 100Kohms 1% 100PPM;100K;0;Through Hole;PCB Top;660-MF1/4D52R1003F;https://eu.mouser.com/ProductDetail/?qs=4ahRxIk2KLDGWfpp1vrRug%3D%3D
9;1;Yageo;MFR-25FRF52-4M7;Mouser;603-MFR-25FRF52-4M7;Metal Film Resistors - Through Hole 4.7M OHM 1/4W 1%;4.7M;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Yageo/MFR-25FRF52-4M7?qs=%2Fha2pyFadui%252BnL3Q99GBfnpqq%2FyAbRGp2PJ3VSDYzsDgIXzIB1EcWp3fbShPnETY
;;;;;;;;;;;;
10;1;Vishay / Sprague;1C10C0G470J050B;Mouser;75-1C10C0G470J050B;Multilayer Ceramic Capacitors MLCC - Leaded 47pF 50volts C0G 5% 5.0mm L/S;47p;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Vishay/1C10C0G470J050B?qs=%2Fha2pyFadujmNqQEH4t7%2F4Ntp%2FqUsL8pUUbwbPr08fkFDBXX3nzbPA%3D%3D
11;1;Vishay / BC Components;K102J15C0GF53L2;Mouser;594-K102J15C0GF53L2;Multilayer Ceramic Capacitors MLCC - Leaded 1000pF 50volts 5% C0G 2.5mm LS;1n;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Vishay-BC-Components/K102J15C0GF53L2?qs=%2Fha2pyFadujFTTkWMNQuhssjZihNA7FWuM4V6Qx7JFEO4sI5RrBG%252BA%3D%3D
12;76;Vishay / Sprague;1C10Z5U104M050B;Mouser;75-1C10Z5U104M050B;Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts Z5U 20% 2.5mm L/S;0.1 u;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Vishay-Sprague/1C10Z5U104M050B?qs=%2Fha2pyFadujQA33Xck%252BOjVa%252BAcL1Zc%2FfPpxV7pYmljLTfcw4Cl4q2Q%3D%3D
13;1;TDK;FK16C0G1H104J;Mouser;810-FK16C0G1H104J;Multilayer Ceramic Capacitors MLCC - Leaded 0.1uF 50volts C0G +/-5%;;0;Through Hole;PCB Top;810-FG16C0G1H104JNT6;https://eu.mouser.com/ProductDetail/TDK/FG16C0G1H104JNT06?qs=%2Fha2pyFaduie0%252BScsEER1Hwg7DkU4504W96avzbraHmnqTG0sfuP6Mm9pHw318Dq
14;29;Panasonic;ECE-A1VKS100;Mouser;667-ECE-A1VKS100;Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL;10 u;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Panasonic/ECE-A1VKS100?qs=sGAEpiMZZMtZ1n0r9vR22ZGaUoI0JcRfQi0J%252BD7I9js%3D
;;;;;;;;;;;;
15;16;Fair-Rite;2743001111;Mouser;623-2743001111;EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz;0;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Fair-Rite/2743001111?qs=%2Fha2pyFaduhAVm6lzZG4A6cohB8FcKJlx4luoUNOyeJgmD8uZDaeqw%3D%3D
;;;;;;;;;;;;
16;44;STMicroelectronics;1N5711;Mouser;511-1N5711;Schottky Diodes & Rectifiers 15mA 70 Volt;0;DO-35;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/STMicroelectronics/1N5711?qs=%2Fha2pyFadugGBlnOL2%2F05bwpkSrqSXwve7Wq2xwhWno%3D
17;16;Fairchild Semiconductor;1N4001;Mouser;512-1N4001;Rectifiers Vr/50V Io/1A T/R;0;DO-41;Through Hole;PCB Top;750-1N4001-G;https://eu.mouser.com/ProductDetail/Comchip-Technology/1N4001-G?qs=%2Fha2pyFaduhBb5bAeSaJlZtgGOW6%2FrlHAfV8Sw9sq0mSainvuiM7Ow%3D%3D
18;3;ON Semiconductor / Fairchild;1N4148;Mouser;512-1N4148;Diodes - General Purpose, Power, Switching 100V Io/200mA;0;DO-35;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/1N4148?qs=sGAEpiMZZMudZehw8RjeZWbu6z6oTQTL
19;2;ON Semiconductor / Fairchild;2N3904BU;Mouser;512-2N3904BU;Bipolar Transistors - BJT NPN Transistor General Purpose;0;TO-92;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/2N3904BU?qs=%2Fha2pyFaduh4EnJyiQaKO5%2Fuuh24Mg8fOVFaE2%2F6OtP7lbET0tbrmw%3D%3D
;;;;;;;;;;;;
20;7;ON Semiconductor / Fairchild;MC78L05ABPX;Mouser;512-MC78L05ABPX;Linear Voltage Regulators Pos Voltage Reg 3Term 0.1a;0;TO-92;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/MC78L05ABPX?qs=%2Fha2pyFadujaZHEF3OtujO2BsSlUK1Gpwp7MMmwSSsHtcX84VSYzYw%3D%3D
21;1;ON Semiconductor / Fairchild;MC79L05ACP;Mouser;512-MC79L05ACP;Linear Voltage Regulators 5V 100mA Negative;;TO-92;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/ON-Semiconductor-Fairchild/MC79L05ACP?qs=%2Fha2pyFadujqI29TbkTwid9S9rje7XqINiOtg5uisx%252BR%252B9qkhOtphA%3D%3D
;;;;;;;;;;;;
22;1;E-Switch;100SP1T1B1M2QEH;Mouser;612-100-A1121;Toggle Switches SPDT ON-ON PC MNT;0;0;Through Hole;PCB Top / Frontpanel;;https://eu.mouser.com/ProductDetail/E-Switch/100SP1T1B1M2QEH?qs=%2Fha2pyFaduhbEwqjve6twFw2%2FC91GIbIWEIYMqD8LBjX1Z%252BzHB8wGg%3D%3D
23;1;E-Switch;100SP3T1B1M1QEH;Mouser;612-100-C1111;Toggle Switches SPDT ON-OFF-ON SLDR;0;0;Through Hole;PCB Top / Frontpanel;;https://eu.mouser.com/ProductDetail/E-Switch/100SP3T1B1M1QEH?qs=%2Fha2pyFaduhbEwqjve6twK9c8YKzpFeX9ywjLOnD0A3KT495SEbhPQ%3D%3D
;;;;;;;;;;;;
24;29;Texas Instruments;LM6172IN/NOPB;Mouser;926-LM6172IN/NOPB;Operational Amplifiers - Op Amps Dual High Speed,Low Pwr Amp;0;DIP-8;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/LM6172IN-NOPB?qs=%2Fha2pyFadui9ChosllCDfp9qZ9ZKS3QY0CBkl8ivaNdON%2FZhacnujg%3D%3D
;;;;;;;;;;;;
25;1;Texas Instruments;SN74HC148N;Mouser;595-SN74HC148N;Encoders, Decoders, Multiplexers & Demultiplexers 8-to-3 Line Priority;;DIP-16;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/SN74HC148N?qs=sGAEpiMZZMtxONTBFIcRfgMIbQHDmxev9Hkokn9ea%252BQ%3D
26;1;Texas Instruments;CD4046BE;Mouser;595-CD4046BE;Phase Locked Loops - PLL PLL w/ VCO;0;DIP-16;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/CD4046BE?qs=sGAEpiMZZMuVnCuI0aQamH6cDHpNC2wbk3wVfj6s33I%3D
27;1;Texas Instruments;CD4015BE;Mouser;595-CD4015BE;Counter Shift Registers Dual 4-Stage Static;0;DIP-16;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/CD4015BE?qs=sGAEpiMZZMtsbn1GaJysl%252B133tPBKdjeffgsb2xZ5mI%3D
28;3;Texas Instruments;SN74HC00N;Mouser;595-SN74HC00N;Logic Gates Quad 2-Input NAND;0;DIP-14;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/SN74HC00N?qs=sGAEpiMZZMtMa9lbYwD6ZOuZLcSXNpUa2xCbYHJFs%2FQ%3D
29;4;Texas Instruments;TL072IP;Mouser;595-TL072IP;Operational Amplifiers - Op Amps Dual JFET In Low N;0;DIP8;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/TL072IP?qs=sGAEpiMZZMtCHixnSjNA6J5DQWv82hgvnMA72xjDiRo%3D
30;1;Texas Instruments;CD4070BE;Mouser;595-CD4070BE;Logic Gates Quad Exclusive;0;DIP-14;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/CD4070BE?qs=sGAEpiMZZMtMa9lbYwD6ZIRiGuMEPOmr%2FZ2DUBEod6E%3D
31;1;Texas Instruments;CD4011BE;Mouser;595-CD4011BE;Logic Gates Quad 2-Input NAND;0;DIP-14;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/CD4070BE?qs=sGAEpiMZZMtMa9lbYwD6ZIRiGuMEPOmr%2FZ2DUBEod6E%3D
32;1;Texas Instruments;CD4001BE;Mouser;595-CD4001BE;Logic Gates Quad 2-Input NOR;0;DIP-13;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/CD4001BE?qs=sGAEpiMZZMtMa9lbYwD6ZAv0bRAq9ZjLbgc%2FiraWg54%3D
33;1;Texas Instruments;SN74HC191N;Mouser;595-SN74HC191N;Counter ICs 4-Bit Sync UpDn Bnry;0;DIP-16;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/SN74HC191N?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05fUemnU6a%2FcM%3D
34;1;Texas Instruments;SN74HC174N;Mouser;595-SN74HC174N;Flip Flops Hex w/ Clear;1;DIP-16;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Texas-Instruments/SN74HC174N?qs=sGAEpiMZZMvxP%252Bvr8KwMwOIDaP0%252BeD%2FyWIkMG9I35k4%3D
